case,x0,y0,x1,y1,width,height,lq_gt_l1,lq_gt_mse,lq_gt_psnr,lq_gt_ssim,lq_gt_gradient_difference,lq_gt_edge_density_difference,h200_gt_l1,h200_gt_mse,h200_gt_psnr,h200_gt_gradient_difference,h50_gt_l1,h50_gt_mse,h50_gt_psnr,h50_gt_gradient_difference,required_change_l1,required_change_gradient,generated_change_200_l1,generated_change_50_l1,generated_change_200_gradient,generated_change_50_gradient,improvement_200_l1,improvement_50_l1,improvement_200_mse,improvement_50_mse,change_alignment_200,change_alignment_50,local_variance,gradient_magnitude,edge_density,laplacian_magnitude,local_contrast,local_entropy,blur_proxy,primary_type,type_e_conservative,type_f_potential_ideal
case2,1152,3712,1408,3968,256,256,10.207931518554688,165.8498077392578,25.933653884663002,0.6927949078878596,4.1373114585876465,0.129913330078125,23.050491333007812,1021.2586059570312,18.039446337558495,12.809788703918457,8.890182495117188,131.42860412597656,26.943904318766112,3.8256020545959473,10.207931518554688,4.1373114585876465,25.49041748046875,4.968302249908447,14.644893646240234,1.7893409729003906,-12.842559814453125,1.3177490234375,-855.4087982177734,34.42120361328125,0.37524208075627075,0.46439742074498414,1326.554443359375,2.2917747497558594,0.0409088134765625,1.7154338359832764,0.27836140990257263,3.758615741578358,0.7485173344612122,D_direction_mismatch_or_harmful,True,False
case2,1152,3840,1408,4096,256,256,9.59276294708252,149.05189514160156,26.39742873384872,0.7278200249862549,3.74880313873291,0.104461669921875,22.055557250976562,961.0087890625,18.303530173601562,11.385479927062988,8.22576904296875,114.98189544677734,27.52450906872432,3.5473103523254395,9.59276294708252,3.74880313873291,25.0306339263916,5.241973876953125,12.843299865722656,1.8111203908920288,-12.462794303894043,1.3669939041137695,-811.9568939208984,34.06999969482422,0.42417109104514256,0.496545116990819,1314.76513671875,2.4502317905426025,0.056732177734375,1.801422357559204,0.2567897140979767,3.857013454091201,0.7352045774459839,D_direction_mismatch_or_harmful,True,False
case2,2432,2048,2688,2304,256,256,9.535298347473145,244.0263214111328,24.256436605407487,0.8043525349363104,4.259476184844971,0.1569061279296875,18.209508895874023,1039.5833740234375,17.962210377463105,9.591854095458984,8.248173713684082,204.4457550048828,25.02502284936021,4.670607566833496,9.535298347473145,4.259476184844971,23.572219848632812,9.859481811523438,10.693450927734375,4.109597682952881,-8.674210548400879,1.2871246337890625,-795.5570526123047,39.58056640625,0.58386423630908,0.5880943043842872,578.760986328125,2.825498342514038,0.067047119140625,2.006317138671875,0.1263675093650818,2.924065307323857,0.7100752592086792,D_direction_mismatch_or_harmful,False,True
case2,2304,2048,2560,2304,256,256,9.272379875183105,218.39820861816406,24.738312587197115,0.8107922974577665,4.0384955406188965,0.1549530029296875,17.6734676361084,938.9778442382812,18.404250229846962,9.22663688659668,8.009480476379395,176.908447265625,25.653318151509573,4.367099285125732,9.272379875183105,4.0384955406188965,22.50396156311035,9.39641284942627,10.276735305786133,3.8075127601623535,-8.401087760925293,1.262899398803711,-720.5796356201172,41.48976135253906,0.584438179327616,0.599008159352742,593.3029174804688,2.9188859462738037,0.0590667724609375,1.978637933731079,0.12972670793533325,3.070466932314698,0.6778741478919983,D_direction_mismatch_or_harmful,False,True
case2,1152,3584,1408,3840,256,256,9.393173217773438,146.8221893310547,26.46288665125755,0.7164520469105128,3.8078362941741943,0.1162567138671875,19.174484252929688,794.206787109375,19.131467583990414,9.400291442871094,8.00013256072998,111.44607543945312,27.660155814118998,3.492605686187744,9.393173217773438,3.8078362941741943,21.728485107421875,4.80083703994751,10.760506629943848,1.6325594186782837,-9.78131103515625,1.393040657043457,-647.3845977783203,35.37611389160156,0.4287644258645713,0.49941580710927724,1512.966064453125,2.1345670223236084,0.0350494384765625,1.6082561016082764,0.29056018590927124,3.8863474448031226,0.7534340023994446,D_direction_mismatch_or_harmful,True,False
case2,1152,3456,1408,3712,256,256,9.64061450958252,153.5542449951172,26.26818519500435,0.7317531491639003,3.770329475402832,0.132537841796875,16.576868057250977,616.465576171875,20.231715054553632,6.658504486083984,7.675501346588135,103.65035247802734,27.975096095213956,3.4385366439819336,9.64061450958252,3.770329475402832,20.23346519470215,5.1735687255859375,7.5606303215026855,1.618252158164978,-6.936253547668457,1.9651131629943848,-462.9113311767578,49.903892517089844,0.535027749331322,0.5721150519068096,1509.3564453125,2.27382755279541,0.031524658203125,1.6119182109832764,0.28376519680023193,3.9180435980760726,0.708900511264801,D_direction_mismatch_or_harmful,True,False
case2,2048,3456,2304,3712,256,256,9.57036304473877,214.8447723388672,24.809555598087268,0.8446093406345957,3.692539691925049,0.108856201171875,15.212559700012207,743.7483520507812,19.41654305801644,7.485951900482178,7.976043701171875,147.44032287597656,26.44464042659237,3.6225574016571045,9.57036304473877,3.692539691925049,19.215072631835938,7.136545658111572,8.144641876220703,2.7971696853637695,-5.6421966552734375,1.5943193435668945,-528.9035797119141,67.40444946289062,0.6205277343803536,0.608952941826875,883.1036987304688,3.252102851867676,0.0975799560546875,2.026123046875,0.16756142675876617,3.3504078713376155,0.6230191588401794,D_direction_mismatch_or_harmful,False,True
case2,2048,2688,2304,2944,256,256,10.940678596496582,262.0331115722656,23.94724178429188,0.8147656352957804,4.397833824157715,0.118560791015625,14.134648323059082,593.6076049804688,20.39580893451019,7.477346897125244,8.58116626739502,168.47669982910156,25.865405271418073,4.64315128326416,10.940678596496582,4.397833824157715,19.146841049194336,8.931503295898438,7.748245716094971,3.3480019569396973,-3.1939697265625,2.3595123291015625,-331.5744934082031,93.55641174316406,0.6363488589771686,0.6388271435238414,1899.66845703125,4.295114040374756,0.1500701904296875,2.4137678146362305,0.27369996905326843,3.910246874365008,0.5619797706604004,D_direction_mismatch_or_harmful,False,True
case2,2048,2560,2304,2816,256,256,10.289067268371582,231.92022705078125,24.477417428693684,0.8400028114345045,4.049055576324463,0.0983123779296875,14.04108715057373,585.3604125976562,20.456569900834708,7.415526390075684,8.120661735534668,153.28489685058594,26.275809949083737,4.435566425323486,10.289067268371582,4.049055576324463,19.00775718688965,8.696441650390625,7.747300148010254,3.33349609375,-3.7520198822021484,2.168405532836914,-353.440185546875,78.63533020019531,0.6466495115088298,0.6405340810360851,1993.2247314453125,4.348294734954834,0.15869140625,2.45404052734375,0.2760169506072998,3.8481479725725163,0.5643683671951294,D_direction_mismatch_or_harmful,False,True
case2,2304,1920,2560,2176,256,256,7.5829010009765625,164.20582580566406,25.976917996169526,0.843761909848794,3.346754550933838,0.1194915771484375,15.0211181640625,763.8567504882812,19.30068410946804,7.3731608390808105,7.172841548919678,153.76792907714844,26.262146098407563,3.7893881797790527,7.5829010009765625,3.346754550933838,18.6874942779541,8.313776969909668,8.261323928833008,3.293025016784668,-7.4382171630859375,0.41005945205688477,-599.6509246826172,10.437896728515625,0.5973753736944644,0.5936597928940968,541.3204345703125,2.504534959793091,0.0496368408203125,1.7625222206115723,0.1207716315984726,2.7501633051700027,0.7037320733070374,D_direction_mismatch_or_harmful,False,False
